THE	BY	HASBEEN	INTO	ONTO	AGT	AGTFOC	BENREC	BENFOC	CAUSAGT	CAUSAGTFOC	COM	COMFOC	EXP	EXPFOC	PAT	PATFOC	PRED	PREDFOC	THM	TID_ON	TID_AT	TID_IN	TID_BY	TID_UNTIL	TID_FREQ	TID_DUR	TID_PT	EXT	EXT_CAUS	LOC_AT	LOC_IN	LOC_ON	LOC	LOCFOC	ACT	ACT_LOC	ACT_CAUS	STAT	ERG	STAT_BODY	STAT_THAT	STAT_TO	STAT_BEN	STAT_CAUS_BENFOC	STAT_CAUS	BEN_STAT_CAUS	PRED_STAT_CAUS	STAT_COM	COMPLEX_CAUS	STAT_EXP	STAT_CAUS_EXP	FINSTAT_CAUS	FINSTAT_PRED_DESC	FINSTAT_AGT	FINSTAT_THM_DESC	FINSTAT_EXP
the	-(e)d by	has been V+ing;	into	onto	7anchorwoman	7anchorwoman is (the one) who	7anchorwoman	7anchorwoman is (the one) who is	7anchorwoman	7anchorwoman is who	7anchorwoman	7anchorwoman is who	7anchorwoman	7anchorwoman is who	7anchorwoman	7anchorwoman is (the one) who is	7anchorwoman	7anchorwoman is who	7admiralty	on Friday	at 7:30	in 5 years	by 6pm	until 6pm	part-time	for 5 years	2:30	7persists	7transmutes +THM; into +THM;	7place	7casket	7lowland	7place	7place is where	7decomposes	7jabs into +LOC;	7lashes +THM; to +LOC;	7clams up	7flip flops	7rattles around	7pledges that	7typecasts	7nags +BENREC; about +THM;		7cocoons +THM; from	7nags +BENREC; about +THM;		7skirmishes with each other					disfigured	macho	blistering	jolly
the	-(e)d by	has been V+ing;	into	onto	7antagonist	7antagonist is (the one) who	7antagonist	7antagonist is (the one) who is	7antagonist	7antagonist is who	7antagonist	7antagonist is who	7antagonist	7antagonist is who	7antagonist	7antagonist is (the one) who is	7antagonist	7antagonist is who	7adolescence	on Fridays	at 7pm	in a.m.	by 7:30	until 7:30	quarterly	for a year	20 years ago	7redoubles	7transmutes into +THM;	7plenaries	7cathedral	7mainland	7plenary	7plenary is where	7flops	7lashes into +LOC;	7mops +THM; from +LOC;	7clams	7flips	7rears	7preaches that	7worships	7nags +BENREC; into +THM;		7cocoons +THM; in	7nags +BENREC; into +THM;		7skirmishes with one another					disowned	naive	blockaded	loathing
the	-(e)d by	has been V+ing;	into	onto	7antelope	7antelope is (the one) who	7antelope	7antelope is (the one) who is	7antelope	7antelope is who	7antelope	7antelope is who	7antelope	7antelope is who	7antelope	7antelope is (the one) who is	7antelope	7antelope is who	7adoration	on halloween	at 8:30	in afternoons	by 7pm	until 7pm	rarely	for ages	24 hours ago	7reprises	7conceives +THM;	7polytechnic	7cellar	7mast	7polytechnic	7polytechnic is where	7funnels	7lashes +LOC;	7mops +THM; up	7climaxes with +INST;	7fumes	7rears up	7presumes that		7nags +BENREC; to		7codifies +THM;	7nags +BENREC; to		7skirmishes with +COM;					dispossessed	paranoid	blurry	manically depressed
the	-(e)d by	has been V+ing;	into	onto	7anthropologist	7anthropologist is (the one) who	7anthropologist	7anthropologist is (the one) who is	7anthropologist	7anthropologist is who	7anthropologist	7anthropologist is who	7anthropologist	7anthropologist is who	7anthropologist	7anthropologist is (the one) who is	7anthropologist	7anthropologist is who	7adulthood	on their holiday	at 8am	in already	by 8:30	until 8:30	regularly	for centuries	2pm	7twines	7concocts +THM;	7putter	7chalet	7mound	7putter	7putter is where	7gallops	7limps +LOC;	7nudges +THM; +LOC;	7clings	7glares	7reels	7professes that		7nags at +BENREC;		7coils +THM; up	7nags at +BENREC;		7skirmishes					disqualified	plucky	bogus	outraged
the	-(e)d by	has been V+ing;	into	onto	7architect	7architect is (the one) who	7architect	7architect is (the one) who is	7architect	7architect is who	7architect	7architect is who	7architect	7architect is who	7architect	7architect is (the one) who is	7architect	7architect is who	7aerosol	on holidays	at 8pm	in April	by 8am	until 8am	seasonly	for century	3 hours ago	7stacks up	7issues +THM;	7rallying point	7citadel	7outskirts	7rallying point	7rallying point is where	7hovers around	7looms +LOC;	7nudges +THM;	7clusters around	7gleams	7shivers	7quips that		7mutters +THM; to +BENREC;		7compromises on +THM;	7mutters +THM; to +BENREC;		7swarms with +COM;					dodgy	prudish	brownish	overwhelmed
the	-(e)d by	has been V+ing;	into	onto	7aristocrat	7aristocrat is (the one) who	7aristocrat	7aristocrat is (the one) who is	7aristocrat	7aristocrat is who	7aristocrat	7aristocrat is who	7aristocrat	7aristocrat is who	7aristocrat	7aristocrat is (the one) who is	7aristocrat	7aristocrat is who	7aerosol spray	on the hour	at 9:30	in August	by 8pm	until 8pm	seldom	for continued	3 minutes ago	7ticks away		7riversides	7courtyard	7oyster bed	7slaughter house	7slaughter house is where	7hovers	7lumbers +LOC;	7plows into +THM;	7clusters together	7glimmers	7shudders	7reasserts that		7notifies +BENREC;		7conceals +THM;	7notifies +BENREC;							exiled	psychic	bulging	psyched
the	-(e)d by	has been V+ing;	into	onto	7assailant	7assailant is (the one) who	7assailant	7assailant is (the one) who is	7assailant	7assailant is who	7assailant	7assailant is who	7assailant	7assailant is who	7assailant	7assailant is (the one) who is	7assailant	7assailant is who	7affection	on Monday	at 9am	in centuries	by 9:30	until 9:30	sometimes	for continues	3 years ago	7ticks by		7slaughter house	7cyberspace	7pampas	7warehouse	7warehouse is where	7jerks	7moans +LOC;	7plows +THM; into +LOC;	7cocoons	7glitters	7snickers	7reckons that		7preaches to +BENREC;&CAUS		7conceives +THM;								feeble	reckless	bulletproof	sensational
the	-(e)d by	has been V+ing;	into	onto	7astronaut	7astronaut is (the one) who	7astronaut	7astronaut is (the one) who is	7astronaut	7astronaut is who	7astronaut	7astronaut is who	7astronaut	7astronaut is who	7astronaut	7astronaut is (the one) who is	7astronaut	7astronaut is who	7aftermath	on Mondays	at 9pm	in century	by 9am	until 9am	steadily	for continues	3:30	7transfigures		7warehouse	7dorms	7pier	7aisle	7aisle is where	7keels	7nips at +LOC;	7plows +THM; into +THM;	7compromises	7grates	7sniffles	7recounts that		7puts +BENREC first		7concurs in +THM;								feminine	restrained	bushy	smellier
the	-(e)d by	has been V+ing;	into	onto	7astronomer	7astronomer is (the one) who	7astronomer	7astronomer is (the one) who is	7astronomer	7astronomer is who	7astronomer	7astronomer is who	7astronomer	7astronomer is who	7astronomer	7astronomer is (the one) who is	7astronomer	7astronomer is who	7aftertaste	on the nineteenth	at any time	in childhoods	by 9pm	until 9pm	times	for continuing	30 minutes ago	7transmutes into		6access course	7doss house	7place	7amphitheater	7amphitheater is where	7hunkers	7nips +LOC;	7props +THM; up	7consents	7gravitates	7sniggers	7reiterates that		7rallies +BENREC;		7consents to +THM;								flamboyant	ridiculous	carcinogenic	smelly
the	-(e)d by	has been V+ing;	into	onto	7atheist	7atheist is (the one) who	7atheist	7atheist is (the one) who is	7atheist	7atheist is who	7atheist	7atheist is who	7atheist	7atheist is who	7atheist	7atheist is (the one) who is	7atheist	7atheist is who	7afterthought	on the ninth	at breakfast	in Christmases	by afternoons	until afternoons	twice	for days	3pm	7transmutes		6ancestral home	7ecosystem	7prairie	7arena	7arena is where	7lashes	7plunges by +LOC;	7props +THM; +LOC;	7conspires	7jangles	7snivels	7rejoices that		7reassures +BENREC;		7conserves +THM;								forgetful	riled	clammy	stunned
